primary_type,community_area,count
NARCOTICS,31,4252
NON - CRIMINAL,31,1
NON-CRIMINAL,31,1
OBSCENITY,31,10
OFFENSE INVOLVING CHILDREN,31,537
OTHER NARCOTIC VIOLATION,31,2
OTHER OFFENSE,31,3873
PROSTITUTION,31,587
PUBLIC INDECENCY,31,2
PUBLIC PEACE VIOLATION,31,1064
ROBBERY,31,1875
SEX OFFENSE,31,379
STALKING,31,49
THEFT,31,14696
WEAPONS VIOLATION,31,982
ARSON,32,52
ASSAULT,32,7076
BATTERY,32,14738
BURGLARY,32,2405
CONCEALED CARRY LICENSE VIOLATION,32,11
CRIM SEXUAL ASSAULT,32,340
CRIMINAL DAMAGE,32,7866
CRIMINAL SEXUAL ASSAULT,32,118
CRIMINAL TRESPASS,32,7738
DECEPTIVE PRACTICE,32,20072
GAMBLING,32,20
HOMICIDE,32,26
HUMAN TRAFFICKING,32,3
INTERFERENCE WITH PUBLIC OFFICER,32,199
INTIMIDATION,32,126
KIDNAPPING,32,38
LIQUOR LAW VIOLATION,32,263
MOTOR VEHICLE THEFT,32,2672
NARCOTICS,32,3666
NON-CRIMINAL,32,10
OBSCENITY,32,12
OFFENSE INVOLVING CHILDREN,32,179
OTHER NARCOTIC VIOLATION,32,14
OTHER OFFENSE,32,6680
PROSTITUTION,32,510
PUBLIC INDECENCY,32,17
PUBLIC PEACE VIOLATION,32,1412
ROBBERY,32,4569
